Fila;NRO_OPERACION;NRO_CUOTA;FEC_PAGO;HORA;MTO_CAPITAL;MTO_INTERES;MTO_INT_DOCUMENTADO;MTO_INT_MORATORIO;MTO_INT_MOR_INTERES;MTO_INT_MOR_ADELANTADO;MTO_INT_PUNITORIO;MTO_CARGO;MTO_IMPUESTO;MTO_GAS_ADMINISTRATIVOS;MTO_HONORARIO;MTO_INT_DESCONTADO;MONTO;DIA_MORA;NRO_CTA_RENOVADA;MTO_INT_MOR_CAL;MTO_INT_MOR_INT_CAL;MTO_INT_MOR_ADE_CAL;MTO_INT_PUN_CAL;MTO_CARGO_CAL;MTO_CAR_IVA_CAL;MTO_IMPUESTO_CAL;SAL_CAPITAL;SAL_INTERES
1;166400-0237;28;11/03/2025;00:00:00;499803;638961;0;24028;0;0;7208;0;0;0;0;0;1170000;71;;0;0;0;0;0;0;0;168147;0
2;262104-0136;24;11/03/2025;00:00:00;1281291;336135;0;66292;0;0;19888;0;0;0;0;0;1703606;68;;0;0;0;0;0;0;0;0;0
3;120705-0141;49;11/03/2025;00:00:00;56920;0;0;1185;0;0;356;0;0;0;0;0;58461;38;;0;0;0;0;0;0;0;0;0
4;120705-0130;49;11/03/2025;00:00:00;320422;408134;0;15928;0;0;4779;0;0;0;0;0;749263;38;;0;0;0;0;0;0;0;0;0
5;467532-0097;1;11/03/2025;00:00:00;141137;32173;0;6481;0;0;1944;0;0;0;0;0;181735;65;;0;0;0;0;0;0;0;0;0
6;291621-0093;11;11/03/2025;00:00:00;184817;6434;0;21127;0;0;6338;0;0;0;0;0;218716;111;;0;0;0;0;0;0;0;0;0
7;291621-0093;12;11/03/2025;00:00:00;188001;3250;0;0;0;0;0;0;0;0;0;0;191251;81;;0;0;0;0;0;0;0;0;0
8;257946-0297;7;11/03/2025;00:00:00;813509;175806;0;33590;0;0;10077;0;0;0;0;0;1032982;56;;0;0;0;0;0;0;0;0;0
9;464524-0136;18;11/03/2025;00:00:00;1698136;26523;0;58355;0;0;17506;0;0;0;0;0;1800520;65;;0;0;0;0;0;0;0;0;0
10;399624-0125;3;11/03/2025;00:00:00;81094;15135;0;22866;0;0;6861;0;0;0;0;0;125956;144;;0;0;0;0;0;0;0;0;0
11;399624-0125;4;11/03/2025;00:00:00;82493;13736;0;0;0;0;0;0;0;0;0;0;96229;113;;0;0;0;0;0;0;0;0;0
12;399624-0125;5;11/03/2025;00:00:00;83917;12312;0;0;0;0;0;0;0;0;0;0;96229;83;;0;0;0;0;0;0;0;0;0
13;399624-0125;6;11/03/2025;00:00:00;85366;10863;0;0;0;0;0;0;0;0;0;0;96229;52;;0;0;0;0;0;0;0;0;0
14;438350-0077;6;11/03/2025;00:00:00;173742;22110;0;7662;0;0;2299;0;0;0;0;0;205813;68;;0;0;0;0;0;0;0;0;0
15;556359-0051;21;11/03/2025;00:00:00;931009;309156;0;41875;0;0;12562;0;0;0;0;0;1294602;68;;0;0;0;0;0;0;0;0;0
16;556359-0051;22;11/03/2025;00:00:00;36926;292321;0;0;0;0;0;0;0;0;0;0;329247;40;;0;0;0;0;0;0;0;910918;0
